Id;Latitude;Longitude;Cluster
0003fb6a-bca5-45bd-b7c1-919ee1516a5e;-7.1353271;-34.8556077;3
001c3406-3775-40fb-b1eb-4829d0ed7bb2;-7.16415;-34.85546;6
001e7714-7e61-42aa-ad39-d8bf38d4ae0c;-7.15426;-34.85094;6
0023357b-6769-445b-9971-7ad50c068843;-7.029481;-37.283804;0
002e8fa4-f2ea-4c87-9d02-de1d29f21586;-7.2620565;-35.934432;3
00385b68-9479-4bcf-b497-c70d4f7c76f5;-7.0985988;-34.8413011;6
0048c0ca-6b2b-4181-8d6d-5fe935efedf7;-7.1379187;-34.8273816;6
004d1aec-a01a-4cd2-8d7f-14513ac45019;-7.1415953;-34.9208393;5
0075c8af-67d0-403e-beb2-35c22a7472d8;-7.1160409;-34.8270899;6
0087a183-5b71-4dd7-9857-61ccb6d66760;-7.1163221;-34.8531972;6
008cc023-5322-4ab8-9c4d-56915fdcf385;-5.9048;-35.19629;0
008f1d56-ba05-462a-a7f6-7278b48ce052;-7.098196;-34.8431653;6
0096af74-166c-49fd-896c-031ed4ec51b2;-7.0919381;-34.8341944;4
00ac2a16-4b08-40d2-b7fc-8e3af0d0e4c4;-7.1817771;-34.8631471;6
00c768ed-05ba-4bb9-86d3-5da3dd359507;-7.12349;-34.85611;6
00ca4a36-40f1-4ad6-9379-44ffe923768e;-7.2266638;-35.8963135;6
00ce2aad-ce6f-42c9-a44c-896b748b1dfa;-7.0829209;-34.839694;4
010d623f-60a9-4c23-8f64-3ad392f32a6a;-7.0890423;-34.8409177;4
011aaed9-a26c-40fb-bba6-d3b8ec0c9acf;-7.09296;-34.83569;4
0123f2ba-9dc7-4d15-b351-aff5c235abc2;-7.2081071;-35.8996872;3
0135df14-a23e-44a9-867f-8294c6bfdf58;-7.0377246;-34.8396724;6
013acc9e-bd12-44ec-9966-c57bcb8180e9;-7.0744411;-34.8410446;4
0161c36d-eeb2-4848-8625-3e7654e5a7b6;-7.2028044;-34.8732896;6
0164d0b9-2ecf-4450-b91a-2fc97d4686b8;-5.8827263;-35.2136126;5
0166c36c-42bc-481d-8eb7-f7535d9b7b82;-5.8573714;-35.24014;0
